gene_symbol,mean_control,mean_influenza,log2_fold_change,p_value,fdr,status,probe_clean,mapped_gene_symbol,gene_description
"""ILMN_1343291""",14.596023209095762,14.624855503482843,0.0288322943870831,0.6367803793795104,0.9337082284724596,Not Significant,ILMN_1343291,ILMN_1343291,Sonda Illumina
"""ILMN_1343295""",12.802249475606718,12.52678783798776,-0.2754616376189585,0.0990158976618191,0.6349077934624127,Not Significant,ILMN_1343295,ILMN_1343295,Sonda Illumina
"""ILMN_1651199""",6.589776601805058,6.655240130669853,0.0654635288647949,0.4227293120801161,0.8705707101115491,Not Significant,ILMN_1651199,ILMN_1651199,Sonda Illumina
"""ILMN_1651209""",6.7850658057392845,6.682834134533498,-0.1022316712057866,0.1761681624564246,0.7251406287341334,Not Significant,ILMN_1651209,ILMN_1651209,Sonda Illumina
"""ILMN_1651210""",6.745157827991251,6.709603022313962,-0.0355548056772896,0.68435859692964,0.9466700166660384,Not Significant,ILMN_1651210,ILMN_1651210,Sonda Illumina
"""ILMN_1651221""",6.737014125672635,6.677461313247828,-0.0595528124248074,0.2545340044957864,0.7899446563805882,Not Significant,ILMN_1651221,ILMN_1651221,Sonda Illumina
"""ILMN_1651228""",13.361947288606864,13.15436913124581,-0.2075781573610555,0.090495601456487,0.6215817046481263,Not Significant,ILMN_1651228,ILMN_1651228,Sonda Illumina
"""ILMN_1651229""",7.727960077115279,7.646740762849912,-0.0812193142653674,0.6239884829056206,0.9298302600847884,Not Significant,ILMN_1651229,ILMN_1651229,Sonda Illumina
"""ILMN_1651230""",6.584817808008765,6.672531453114918,0.0877136451061533,0.129374593724479,0.6774574964281874,Not Significant,ILMN_1651230,ILMN_1651230,Sonda Illumina
"""ILMN_1651232""",6.758230190305301,6.711901685531268,-0.0463285047740322,0.4206847001263546,0.8699994689850423,Not Significant,ILMN_1651232,ILMN_1651232,Sonda Illumina
"""ILMN_1651235""",6.491745394374986,6.477671888585673,-0.0140735057893124,0.7653202287179907,0.962732680721412,Not Significant,ILMN_1651235,ILMN_1651235,Sonda Illumina
"""ILMN_1651236""",6.529513827616891,6.556092241334639,0.0265784137177478,0.6960161620846893,0.9493582324333456,Not Significant,ILMN_1651236,ILMN_1651236,Sonda Illumina
"""ILMN_1651237""",6.6655635410833955,6.624898394589787,-0.0406651464936089,0.6790164986662731,0.9449677891182164,Not Significant,ILMN_1651237,ILMN_1651237,Sonda Illumina
"""ILMN_1651238""",6.461557298767756,6.483358881447536,0.0218015826797799,0.7631625420623953,0.9626190066354252,Not Significant,ILMN_1651238,ILMN_1651238,Sonda Illumina
"""ILMN_1651249""",6.610133724636481,6.6792979228444365,0.0691641982079556,0.4893141694039835,0.8967790786353952,Not Significant,ILMN_1651249,ILMN_1651249,Sonda Illumina
"""ILMN_1651253""",6.568125894857424,6.659044311641241,0.0909184167838175,0.2963538333094019,0.8111443253103543,Not Significant,ILMN_1651253,ILMN_1651253,Sonda Illumina
"""ILMN_1651254""",9.881076709839917,9.230801376512453,-0.650275333327464,0.0022912953177538,0.1745033269964666,Not Significant,ILMN_1651254,ILMN_1651254,Sonda Illumina
"""ILMN_1651259""",6.993579608491655,7.027859255666226,0.0342796471745714,0.5719849841777449,0.9171642196368108,Not Significant,ILMN_1651259,ILMN_1651259,Sonda Illumina
"""ILMN_1651260""",6.398213377931637,6.346556756168168,-0.0516566217634695,0.240556418404546,0.7797093838186003,Not Significant,ILMN_1651260,ILMN_1651260,Sonda Illumina
"""ILMN_1651262""",11.244924863850596,11.092391675735117,-0.1525331881154805,0.2172189643947231,0.7638494526137115,Not Significant,ILMN_1651262,ILMN_1651262,Sonda Illumina
"""ILMN_1651268""",6.6088838799104455,6.557967407676868,-0.0509164722335775,0.3677169554615164,0.84552273356981,Not Significant,ILMN_1651268,ILMN_1651268,Sonda Illumina
"""ILMN_1651278""",8.534340722244425,9.008082348698723,0.4737416264542986,0.0156423326626114,0.3587988071097921,Not Significant,ILMN_1651278,ILMN_1651278,Sonda Illumina
"""ILMN_1651279""",7.215581150365155,7.080319744585692,-0.1352614057794632,0.6968550617574307,0.9493582324333456,Not Significant,ILMN_1651279,ILMN_1651279,Sonda Illumina
"""ILMN_1651281""",6.67444311970403,6.733752760339368,0.0593096406353383,0.6097243689311341,0.926426526310946,Not Significant,ILMN_1651281,ILMN_1651281,Sonda Illumina
"""ILMN_1651282""",6.870460690981713,6.826818587370454,-0.0436421036112593,0.6536561597574293,0.9388843075114284,Not Significant,ILMN_1651282,ILMN_1651282,Sonda Illumina
"""ILMN_1651285""",6.751090885100635,6.791345363250322,0.0402544781496869,0.644917483475488,0.9360410912825676,Not Significant,ILMN_1651285,ILMN_1651285,Sonda Illumina
"""ILMN_1651286""",6.6027372313627595,6.46787064204094,-0.1348665893218195,0.2465091413383952,0.784129759464381,Not Significant,ILMN_1651286,ILMN_1651286,Sonda Illumina
"""ILMN_1651288""",6.858313347367106,6.940217297851612,0.0819039504845067,0.131395828937442,0.6796479963674508,Not Significant,ILMN_1651288,ILMN_1651288,Sonda Illumina
"""ILMN_1651292""",6.569067958990442,6.476800702889809,-0.0922672561006328,0.2443936061000533,0.7828127335854722,Not Significant,ILMN_1651292,ILMN_1651292,Sonda Illumina
"""ILMN_1651296""",9.06957110218692,8.725728301265992,-0.3438428009209282,0.3998181499005976,0.8611257872398245,Not Significant,ILMN_1651296,ILMN_1651296,Sonda Illumina
"""ILMN_1651303""",6.769886253463507,6.740385151848436,-0.0295011016150708,0.6425359613592094,0.9356960833198692,Not Significant,ILMN_1651303,ILMN_1651303,Sonda Illumina
"""ILMN_1651309""",6.415049653623899,6.426087151518499,0.0110374978946001,0.6852675349966341,0.946955525743947,Not Significant,ILMN_1651309,ILMN_1651309,Sonda Illumina
