gene_symbol,mean_control,mean_influenza,log2_fold_change,p_value,fdr,status
"""ILMN_1343291""",14.596023209095762,14.624855503482845,0.028832294387083124,0.6367803793795104,0.9337082284724596,Not Significant
"""ILMN_1343295""",12.802249475606718,12.52678783798776,-0.2754616376189585,0.09901589766181919,0.6349077934624127,Not Significant
"""ILMN_1651199""",6.589776601805058,6.655240130669853,0.0654635288647949,0.4227293120801161,0.8705707101115491,Not Significant
"""ILMN_1651209""",6.7850658057392845,6.682834134533498,-0.10223167120578669,0.1761681624564246,0.7251406287341334,Not Significant
"""ILMN_1651210""",6.745157827991251,6.709603022313962,-0.035554805677289636,0.68435859692964,0.9466700166660383,Not Significant
"""ILMN_1651221""",6.737014125672635,6.677461313247828,-0.05955281242480748,0.25453400449578645,0.7899446563805882,Not Significant
"""ILMN_1651228""",13.361947288606865,13.15436913124581,-0.20757815736105556,0.09049560145648702,0.6215817046481263,Not Significant
"""ILMN_1651229""",7.727960077115279,7.6467407628499116,-0.08121931426536744,0.6239884829056206,0.9298302600847884,Not Significant
"""ILMN_1651230""",6.584817808008765,6.672531453114918,0.08771364510615332,0.129374593724479,0.6774574964281874,Not Significant
"""ILMN_1651232""",6.758230190305301,6.711901685531268,-0.046328504774032275,0.4206847001263546,0.8699994689850423,Not Significant
"""ILMN_1651235""",6.491745394374986,6.477671888585673,-0.014073505789312435,0.7653202287179907,0.9627326807214119,Not Significant
"""ILMN_1651236""",6.529513827616891,6.556092241334639,0.02657841371774783,0.6960161620846893,0.9493582324333457,Not Significant
"""ILMN_1651237""",6.6655635410833955,6.624898394589787,-0.04066514649360897,0.6790164986662731,0.9449677891182163,Not Significant
"""ILMN_1651238""",6.461557298767756,6.483358881447536,0.02180158267977994,0.7631625420623953,0.9626190066354251,Not Significant
"""ILMN_1651249""",6.610133724636481,6.6792979228444365,0.06916419820795561,0.48931416940398353,0.8967790786353952,Not Significant
